Review #,Review,Explicit,Implicit
1,grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,"'grabi' (O - ), 'pangalawa' (O - ), 'ko' (O - ), 'ng' (O - ), 'order' (O - ), 'sa' (O - ), 'shapee' (O - ), 'pero' (O - ), 'puro' (O - ), 'dismayado' (O - ), 'ako' (O - ), 'ang' (O - ), 'pangit' (B - PRO#MAT), 'ng' (I - PRO#MAT), 'tila' (I - PRO#MAT), 'subrang' (B - PRO#MAT), 'nipis' (I - PRO#MAT), 'mabilis' (B - PRO#DUR), 'ma' (I - PRO#DUR), 'punit' (I - PRO#DUR), 'at' (O - ), 'ang' (O - ), 'laki' (B - PRO#SIZE), 'ng' (I - PRO#SIZE), 'size' (I - PRO#SIZE), 'niya' (O - ), 'alam' (O - ), 'niyo' (O - ), 'shopee' (O - ), 'mapapamura' (O - ), 'ako' (O - ), 'sa' (O - ), 'kagaguhan' (O - ), 'niyo' (O - ), 'nag' (O - ), 'speak' (O - ), 'ako' (O - ), 'na' (O - ), 'magan' (B - PRO#GEN), 'ang' (I - PRO#GEN), 'item' (I - PRO#GEN), 'niyo' (O - ), 'tapos' (O - ), 'ito' (O - ), 'mali' (B - PRO#CORR), 'pa' (I - PRO#CORR), 'ang' (I - PRO#CORR), 'pag' (I - PRO#CORR), 'butas' (I - PRO#CORR)",
2,walang silbing product bwesit di gumagana dalawa pa,"'walang' (B - PRO#GEN), 'silbing' (I - PRO#GEN), 'product' (I - PRO#GEN), 'bwesit' (O - ), 'di' (O - ), 'gumagana' (O - ), 'dalawa' (O - ), 'pa' (O - )","'di' (PRO#FUNC), 'gumagana' (PRO#FUNC)"
3,d po maganda naman po yung neck fan pero po napaka tagal po sya dumating dec9 po dec 23 napo sya dumating chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller,"'d' (O - ), 'po' (O - ), 'maganda' (B - PRO#GEN), 'naman' (I - PRO#GEN), 'po' (I - PRO#GEN), 'yung' (I - PRO#GEN), 'neck' (I - PRO#GEN), 'fan' (I - PRO#GEN), 'pero' (O - ), 'po' (O - ), 'napaka' (B - DEL#TIME), 'tagal' (I - DEL#TIME), 'po' (I - DEL#TIME), 'sya' (I - DEL#TIME), 'dumating' (I - DEL#TIME), '46000' (O - ), 'po' (O - ), 'dec' (B - DEL#TIME), '23' (I - DEL#TIME), 'napo' (I - DEL#TIME), 'sya' (I - DEL#TIME), 'dumating' (I - DEL#TIME), 'chaka' (O - ), 'po' (O - ), 'pink' (O - ), 'po' (O - ), 'inorder' (O - ), 'ko' (O - ), 'bakit' (O - ), 'po' (O - ), 'white' (O - ), 'yung' (O - ), 'dumating' (O - ), 'pero' (O - ), 'konti' (O - ), 'lang' (O - ), 'po' (O - ), 'yung' (O - ), 'hangin' (O - ), 'thank' (O - ), 'you' (O - ), 'po' (O - ), 'driver' (O - ), 'at' (O - ), 'seller' (O - )","'pink' (DEL#CORR), 'po' (DEL#CORR), 'inorder' (DEL#CORR), 'ko' (DEL#CORR), 'bakit' (DEL#CORR), 'po' (DEL#CORR), 'white' (DEL#CORR), 'yung' (DEL#CORR), 'dumating' (DEL#CORR), 'konti' (PRO#EFF), 'lang' (PRO#EFF), 'po' (PRO#EFF), 'yung' (PRO#EFF), 'hangin' (PRO#EFF)"
4,010 sa effectiveness po nya 010 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla scam lang po,"'10' (B - PRO#EFF), 'sa' (I - PRO#EFF), 'effectiveness' (I - PRO#EFF), 'po' (I - PRO#EFF), 'nya' (I - PRO#EFF), '10' (O - ), 'dahil' (O - ), 'kakalagay' (O - ), 'ko' (O - ), 'lang' (O - ), 'then' (O - ), 'wala' (O - ), 'man' (O - ), 'lang' (O - ), 'ilang' (O - ), 'kalahating' (O - ), 'minuto' (O - ), 'uminom' (O - ), 'lang' (O - ), 'ako' (O - ), 'wala' (O - ), 'na' (O - ), 'agad' (O - ), 'ung' (O - ), 'kulay' (O - ), 'sa' (O - ), 'lips' (O - ), 'ko' (O - ), 'kala' (B - PRO#EFF), 'ko' (I - PRO#EFF), 'nag' (I - PRO#EFF), 'sstay' (I - PRO#EFF), 'sya' (I - PRO#EFF), 'ng' (I - PRO#EFF), 'matagal' (I - PRO#EFF), 'kahit' (I - PRO#EFF), 'nga' (I - PRO#EFF), 'punasan' (I - PRO#EFF), 'mo' (I - PRO#EFF), 'pa' (I - PRO#EFF), 'ng' (I - PRO#EFF), 'wipes' (I - PRO#EFF), 'pero' (I - PRO#EFF), 'hindi' (I - PRO#EFF), 'man' (I - PRO#EFF), 'pla' (I - PRO#EFF), 'scam' (O - ), 'lang' (O - ), 'po' (O - )","'kakalagay' (PRO#EFF), 'ko' (PRO#EFF), 'lang' (PRO#EFF), 'then' (PRO#EFF), 'wala' (PRO#EFF), 'man' (PRO#EFF), 'lang' (PRO#EFF), 'ilang' (PRO#EFF), 'kalahating' (PRO#EFF), 'minuto' (PRO#EFF), 'uminom' (PRO#EFF), 'lang' (PRO#EFF), 'ako' (PRO#EFF), 'wala' (PRO#EFF), 'na' (PRO#EFF), 'agad' (PRO#EFF), 'ung' (PRO#EFF), 'kulay' (PRO#EFF), 'sa' (PRO#EFF), 'lips' (PRO#EFF), 'scam' (SER#TRU), 'lang' (SER#TRU), 'po' (SER#TRU)"
4,010 sa effectiveness po nya 010 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla scam lang po,"'10' (B - PRO#EFF), 'sa' (I - PRO#EFF), 'effectiveness' (I - PRO#EFF), 'po' (I - PRO#EFF), 'nya' (I - PRO#EFF), '10' (O - ), 'dahil' (O - ), 'kakalagay' (O - ), 'ko' (O - ), 'lang' (O - ), 'then' (O - ), 'wala' (O - ), 'man' (O - ), 'lang' (O - ), 'ilang' (O - ), 'kalahating' (O - ), 'minuto' (O - ), 'uminom' (O - ), 'lang' (O - ), 'ako' (O - ), 'wala' (O - ), 'na' (O - ), 'agad' (O - ), 'ung' (O - ), 'kulay' (O - ), 'sa' (O - ), 'lips' (O - ), 'ko' (O - ), 'kala' (B - PRO#EFF), 'ko' (I - PRO#EFF), 'nag' (I - PRO#EFF), 'sstay' (I - PRO#EFF), 'sya' (I - PRO#EFF), 'ng' (I - PRO#EFF), 'matagal' (I - PRO#EFF), 'kahit' (I - PRO#EFF), 'nga' (I - PRO#EFF), 'punasan' (I - PRO#EFF), 'mo' (I - PRO#EFF), 'pa' (I - PRO#EFF), 'ng' (I - PRO#EFF), 'wipes' (I - PRO#EFF), 'pero' (I - PRO#EFF), 'hindi' (I - PRO#EFF), 'man' (I - PRO#EFF), 'pla' (I - PRO#EFF), 'scam' (O - ), 'lang' (O - ), 'po' (O - )","'kakalagay' (PRO#EFF), 'ko' (PRO#EFF), 'lang' (PRO#EFF), 'then' (PRO#EFF), 'wala' (PRO#EFF), 'man' (PRO#EFF), 'lang' (PRO#EFF), 'ilang' (PRO#EFF), 'kalahating' (PRO#EFF), 'minuto' (PRO#EFF), 'uminom' (PRO#EFF), 'lang' (PRO#EFF), 'ako' (PRO#EFF), 'wala' (PRO#EFF), 'na' (PRO#EFF), 'agad' (PRO#EFF), 'ung' (PRO#EFF), 'kulay' (PRO#EFF), 'sa' (PRO#EFF), 'lips' (PRO#EFF), 'scam' (SER#TRU), 'lang' (SER#TRU), 'po' (SER#TRU)"
5,maganda dn same sa picture maganda sya medyo maliit nga lang sya,"'maganda' (O - ), 'dn' (O - ), 'same' (O - ), 'sa' (O - ), 'picture' (O - ), 'maganda' (O - ), 'sya' (O - ), 'medyo' (O - ), 'maliit' (O - ), 'nga' (O - ), 'lang' (O - ), 'sya' (O - )","'same' (PRO#CORR), 'sa' (PRO#CORR), 'picture' (PRO#CORR), 'medyo' (PRO#SIZE), 'maliit' (PRO#SIZE)"
6,not worth it ang bilis nya malowbat and ang tagal nya pang icharge,"'not' (B - PRI#VOM), 'worth' (I - PRI#VOM), 'it' (I - PRI#VOM), 'ang' (O - ), 'bilis' (B - PRO#DUR), 'nya' (I - PRO#DUR), 'malowbat' (I - PRO#DUR), 'and' (O - ), 'ang' (O - ), 'tagal' (B - PRO#FUNC), 'nya' (I - PRO#FUNC), 'pang' (I - PRO#FUNC), 'icharge' (I - PRO#FUNC)",
7,mahirap buksan yung payong need mo pa itulak sana na check man lang bago ipadala,"'mahirap' (B - PRO#FUNC), 'buksan' (I - PRO#FUNC), 'yung' (I - PRO#FUNC), 'payong' (I - PRO#FUNC), 'need' (O - ), 'mo' (O - ), 'pa' (O - ), 'itulak' (O - ), 'sana' (B - SER#HAND), 'na' (I - SER#HAND), 'check' (I - SER#HAND), 'man' (I - SER#HAND), 'lang' (I - SER#HAND), 'bago' (I - SER#HAND), 'ipadala' (I - SER#HAND)","'need' (PRO#FUNC), 'mo' (PRO#FUNC), 'pa' (PRO#FUNC), 'itulak' (PRO#FUNC)"
8,wrong color  design sana kung di na available yung black mag message namn kayo if ano available desisyon yarrrnnn kakainis ganitong seller,"'wrong' (O - ), 'color' (O - ), 'design' (O - ), 'sana' (O - ), 'kung' (O - ), 'di' (O - ), 'na' (O - ), 'available' (O - ), 'yung' (O - ), 'black' (O - ), 'mag' (O - ), 'message' (O - ), 'namn' (O - ), 'kayo' (O - ), 'if' (O - ), 'ano' (O - ), 'available' (O - ), 'desisyon' (O - ), 'yarrrnnn' (O - ), 'kakainis' (O - ), 'ganitong' (O - ), 'seller' (O - )","'wrong' (DEL#CORR), 'color' (DEL#CORR), 'design' (DEL#CORR), 'sana' (SER#RES), 'kung' (SER#RES), 'di' (SER#RES), 'na' (SER#RES), 'available' (SER#RES), 'yung' (SER#RES), 'black' (SER#RES), 'mag' (SER#RES), 'message' (SER#RES), 'namn' (SER#RES), 'kayo' (SER#RES), 'if' (SER#RES), 'ano' (SER#RES), 'available' (SER#RES)"
9,ayaw gumana ng remote control my dent ung product na pinadala ni seller sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item,"'ayaw' (B - PRO#FUNC), 'gumana' (I - PRO#FUNC), 'ng' (I - PRO#FUNC), 'remote' (I - PRO#FUNC), 'control' (I - PRO#FUNC), 'my' (B - PRO#COND), 'dent' (I - PRO#COND), 'ung' (I - PRO#COND), 'product' (I - PRO#COND), 'na' (O - ), 'pinadala' (O - ), 'ni' (O - ), 'seller' (O - ), 'sana' (B - SER#HAND), 'bago' (I - SER#HAND), 'ipa' (I - SER#HAND), 'ship' (I - SER#HAND), 'check' (I - SER#HAND), 'muna' (I - SER#HAND), 'mabuti' (I - SER#HAND), 'ni' (I - SER#HAND), 'seller' (I - SER#HAND), 'ung' (I - SER#HAND), 'item' (I - SER#HAND), 'na' (O - ), 'ipapadala' (O - ), 'para' (O - ), 'hnd' (O - ), 'nakaka' (O - ), 'disappoint' (O - ), 'sa' (O - ), 'client' (O - ), 'pag' (O - ), 'na' (O - ), 'recieve' (O - ), 'ung' (O - ), 'item' (O - )",
10,excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item so dahil 66 weve decided to order 5 mystery pouch expect ko 5 packs ang makukuha ko akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch,"'excited' (O - ), 'ako' (O - ), 'sa' (O - ), 'order' (O - ), 'ko' (O - ), 'kasi' (O - ), 'matagal' (O - ), 'ko' (O - ), 'na' (O - ), 'gusto' (O - ), 'bumili' (O - ), 'ng' (O - ), 'mga' (O - ), 'mystery' (O - ), 'item' (O - ), 'so' (O - ), 'dahil' (O - ), '66' (O - ), 'weve' (O - ), 'decided' (O - ), 'to' (O - ), 'order' (O - ), '5' (O - ), 'mystery' (O - ), 'pouch' (O - ), 'expect' (O - ), 'ko' (O - ), '5' (O - ), 'packs' (O - ), 'ang' (O - ), 'makukuha' (O - ), 'ko' (O - ), 'akala' (O - ), 'ko' (O - ), 'may' (O - ), 'sari' (O - ), 'sariling' (O - ), 'balot' (O - ), 'yun' (O - ), 'pala' (O - ), '5' (O - ), 'products' (O - ), 'na' (O - ), 'sya' (O - ), 'sa' (O - ), 'iisang' (O - ), 'pouch' (O - )","'akala' (PRO#COND), 'ko' (PRO#COND), 'may' (PRO#COND), 'sari' (PRO#COND), 'sariling' (PRO#COND), 'balot' (PRO#COND), 'yun' (PRO#COND), 'pala' (PRO#COND), '5' (PRO#COND), 'products' (PRO#COND), 'na' (PRO#COND), 'sya' (PRO#COND), 'sa' (PRO#COND), 'iisang' (PRO#COND), 'pouch' (PRO#COND)"
11,wrong color po yung dumating tapos yung green natanggal yung cover niya,"'wrong' (B - DEL#CORR), 'color' (I - DEL#CORR), 'po' (I - DEL#CORR), 'yung' (I - DEL#CORR), 'dumating' (I - DEL#CORR), 'tapos' (O - ), 'yung' (O - ), 'green' (O - ), 'natanggal' (O - ), 'yung' (O - ), 'cover' (O - ), 'niya' (O - )","'yung' (PRO#COND), 'green' (PRO#COND), 'natanggal' (PRO#COND), 'yung' (PRO#COND), 'cover' (PRO#COND)"
12,510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,"'510' (O - ), 'ang' (B - PRI#AFF), 'mahal' (I - PRI#AFF), 'ng' (I - PRI#AFF), 'payong' (I - PRI#AFF), 'nd' (O - ), 'nmn' (O - ), 'ganun' (O - ), 'ka' (O - ), 'quality' (O - ), 'sira' (O - ), 'pa' (O - ), 'sabi' (B - SER#RES), 'ko' (I - SER#RES), 'seller' (I - SER#RES), 'if' (I - SER#RES), 'ayaw' (I - SER#RES), 'bilik' (I - SER#RES), 'pera' (I - SER#RES), 'ko' (I - SER#RES), 'change' (I - SER#RES), 'items' (I - SER#RES), 'nd' (I - SER#RES), 'na' (I - SER#HAND), 'nag' (I - SER#HAND), 'reply' (I - SER#HAND)","'nd' (PRO#GEN), 'nmn' (PRO#GEN), 'ganun' (PRO#GEN), 'ka' (PRO#GEN), 'quality' (PRO#GEN), 'sira' (PRO#COND)"
13,close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me the problem is i ordered it as gift for a man so purple is not really ok and both bottles have scratches doesnt look new for me,"'close' (O - ), 'to' (O - ), 'ok' (O - ), 'lang' (O - ), 'i' (B - SER#TRU), 'contacted' (I - SER#TRU), 'the' (I - SER#TRU), 'seller' (I - SER#TRU), 'and' (I - SER#TRU), 'they' (I - SER#TRU), 'admitted' (I - SER#TRU), 'that' (I - SER#TRU), 'they' (I - SER#TRU), 'intentionaly' (I - SER#TRU), 'sent' (I - SER#TRU), 'the' (I - SER#TRU), 'wrong' (I - SER#TRU), 'color' (I - SER#TRU), 'without' (I - SER#TRU), 'informing' (I - SER#TRU), 'me' (I - SER#TRU), 'the' (O - ), 'problem' (O - ), 'is' (O - ), 'i' (O - ), 'ordered' (O - ), 'it' (O - ), 'as' (O - ), 'gift' (O - ), 'for' (O - ), 'a' (O - ), 'man' (O - ), 'so' (O - ), 'purple' (O - ), 'is' (O - ), 'not' (O - ), 'really' (O - ), 'ok' (O - ), 'and' (O - ), 'both' (B - PRO#COND), 'bottles' (I - PRO#COND), 'have' (I - PRO#COND), 'scratches' (I - PRO#COND), 'doesnt' (O - ), 'look' (O - ), 'new' (O - ), 'for' (O - ), 'me' (O - )","'i' (DEL#CORR), 'ordered' (DEL#CORR), 'it' (DEL#CORR), 'as' (DEL#CORR), 'gift' (DEL#CORR), 'for' (DEL#CORR), 'a' (DEL#CORR), 'man' (DEL#CORR), 'so' (DEL#CORR), 'purple' (DEL#CORR), 'is' (DEL#CORR), 'not' (DEL#CORR), 'really' (DEL#CORR), 'ok' (DEL#CORR), 'doesnt' (PRO#GEN), 'look' (PRO#GEN), 'new' (PRO#GEN), 'for' (PRO#GEN), 'me' (PRO#GEN)"
14,ang pangit ng item sorry ahhh n ung size kala mo pang bata,"'ang' (B - PRO#GEN), 'pangit' (I - PRO#GEN), 'ng' (I - PRO#GEN), 'item' (I - PRO#GEN), 'sorry' (O - ), 'ahhh' (O - ), 'n' (O - ), 'ung' (O - ), 'size' (O - ), 'kala' (O - ), 'mo' (O - ), 'pang' (O - ), 'bata' (O - )","'ung' (PRO#SIZE), 'size' (PRO#SIZE), 'kala' (PRO#SIZE), 'mo' (PRO#SIZE), 'pang' (PRO#SIZE), 'bata' (PRO#SIZE)"
15,010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,"'10' (B - PRO#GEN), 'd' (I - PRO#GEN), 'maganda' (I - PRO#GEN), 'yung' (I - PRO#GEN), 'product' (I - PRO#GEN), 'matqgal' (O - ), 'matuyo' (O - ), 'kumakalat' (O - ), 'sa' (O - ), 'mata' (O - ), 'hindi' (O - ), 'water' (O - ), 'proof' (O - )","'matqgal' (PRO#EFF), 'matuyo' (PRO#EFF), 'kumakalat' (PRO#EFF), 'sa' (PRO#EFF), 'mata' (PRO#EFF), 'hindi' (PRO#FUNC), 'water' (PRO#FUNC), 'proof' (PRO#FUNC)"
16,good quality product ok naman ung order mabilis dumating well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order,"'good' (B - PRO#GEN), 'quality' (I - PRO#GEN), 'product' (I - PRO#GEN), 'ok' (O - ), 'naman' (O - ), 'ung' (B - DEL#TIME), 'order' (I - DEL#TIME), 'mabilis' (I - DEL#TIME), 'dumating' (I - DEL#TIME), 'well' (I - DEL#TIME), 'pack' (I - DEL#TIME), 'din' (O - ), 'kaso' (O - ), 'orde' (O - ), 'ko' (O - ), 'lima' (O - ), 'tapos' (O - ), 'isa' (O - ), 'lang' (O - ), 'ang' (O - ), 'dumating' (O - ), 'ok' (O - ), 'lang' (O - ), 'kasi' (O - ), 'nakarefund' (O - ), 'ako' (O - ), 'try' (O - ), 'ko' (O - ), 'ulit' (O - ), 'umorder' (O - ), 'sa' (O - ), 'kanila' (O - ), 'baka' (O - ), 'kasi' (O - ), 'nalito' (B - SER#GEN), 'lang' (I - SER#GEN), 'si' (I - SER#GEN), 'seller' (I - SER#GEN), 'at' (O - ), 'magpapasko' (O - ), 'madaming' (O - ), 'order' (O - )","'well' (SER#HAND), 'pack' (SER#HAND), 'orde' (DEL#CORR), 'ko' (DEL#CORR), 'lima' (DEL#CORR), 'tapos' (DEL#CORR), 'isa' (DEL#CORR), 'lang' (DEL#CORR), 'ang' (DEL#CORR), 'dumating' (DEL#CORR), 'nakarefund' (SER#RES), 'ako' (SER#RES)"
17,sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,"'sigundo' (B - PRO#DUR), 'ko' (I - PRO#DUR), 'lng' (I - PRO#DUR), 'sya' (I - PRO#DUR), 'nagamit' (I - PRO#DUR), 'bago' (B - PRO#FUNC), 'yung' (I - PRO#FUNC), 'battery' (I - PRO#FUNC), 'nilagay' (I - PRO#FUNC), 'ko' (I - PRO#FUNC), 'pero' (I - PRO#FUNC), 'pahinto' (I - PRO#FUNC), 'hinto' (I - PRO#FUNC), 'syahindi' (O - ), 'na' (O - ), 'ako' (O - ), 'bibilin' (O - ), 'ng' (O - ), 'ganyan' (O - ), 'much' (O - ), 'better' (O - ), 'nag' (O - ), 'ahit' (O - ), 'nalang' (O - ), 'sana' (O - ), 'ulit' (O - ), 'ako' (O - )",
